"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"33","ST6GAL2","ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 [Source:HGNC Symbol;Acc:10861]",0.384643665,0.56693075,"cortical organoid","Urresti et al. 2021","ENSG00000144057","No"
"34","GRID2","glutamate receptor, ionotropic, delta 2 [Source:HGNC Symbol;Acc:4576]",0.078382187,0.983396343,"cortical organoid","Urresti et al. 2021","ENSG00000152208","No"
"35","NMU","neuromedin U [Source:HGNC Symbol;Acc:7859]",0.124498547,0.942095736,"cortical organoid","Urresti et al. 2021","ENSG00000109255","No"
"36","FAHD1","fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:14169]",-0.640072478,0.009354425,"cortical organoid","Urresti et al. 2021","ENSG00000180185","No"
"37","RP11-384P7.7","",0.27110054,0.790781332,"cortical organoid","Urresti et al. 2021","ENSG00000260947","No"
"38","NOP56","NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:15911]",-0.161403188,0.588155111,"cortical organoid","Urresti et al. 2021","ENSG00000101361","No"
"39","PLCH2","phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]",-0.474008241,0.566658328,"cortical organoid","Urresti et al. 2021","ENSG00000149527","No"
"40","RANBP17","RAN binding protein 17 [Source:HGNC Symbol;Acc:14428]",0.192237091,0.557414976,"cortical organoid","Urresti et al. 2021","ENSG00000204764","No"
"41","RP4-813F11.4","",-0.13513837,0.926780478,"cortical organoid","Urresti et al. 2021","ENSG00000273081","No"
"42","MAP2K6","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:6846]",-0.193978706,0.91126177,"cortical organoid","Urresti et al. 2021","ENSG00000108984","No"
"43","C2CD5","C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062]",0.166173165,0.657005756,"cortical organoid","Urresti et al. 2021","ENSG00000111731","No"
"44","BOLA2","bolA family member 2 [Source:HGNC Symbol;Acc:29488]",-1.27956656,0.044715233,"cortical organoid","Urresti et al. 2021","ENSG00000183336","No"
"45","FAM21C","family with sequence similarity 21, member C [Source:HGNC Symbol;Acc:23414]",0.26834382,0.709840844,"cortical organoid","Urresti et al. 2021","ENSG00000172661","No"
"46","NCALD","neurocalcin delta [Source:HGNC Symbol;Acc:7655]",0.263582937,0.810625043,"cortical organoid","Urresti et al. 2021","ENSG00000104490","No"
"47","HIST1H2BB","histone cluster 1, H2bb [Source:HGNC Symbol;Acc:4751]",-2.353167169,0.410556654,"cortical organoid","Urresti et al. 2021","ENSG00000196226","No"
"48","ASPHD1","aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380]",-1.090593051,0.008566833,"cortical organoid","Urresti et al. 2021","ENSG00000174939","Yes"
"49","IRX2","iroquois homeobox 2 [Source:HGNC Symbol;Acc:14359]",0.538462852,0.886973971,"cortical organoid","Urresti et al. 2021","ENSG00000170561","No"
"50","MEIS1","Meis homeobox 1 [Source:HGNC Symbol;Acc:7000]",0.78574552,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000143995","No"
"51","NBPF1","neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]",0.220089802,0.757863229,"cortical organoid","Urresti et al. 2021","ENSG00000219481","No"
"52","RPL12","ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]",-0.076559781,0.926780478,"cortical organoid","Urresti et al. 2021","ENSG00000197958","No"
"53","WNT7A","wingless-type MMTV integration site family, member 7A [Source:HGNC Symbol;Acc:12786]",1.015215026,0.410143033,"cortical organoid","Urresti et al. 2021","ENSG00000154764","No"
"54","AMPH","amphiphysin [Source:HGNC Symbol;Acc:471]",0.159601901,0.843581457,"cortical organoid","Urresti et al. 2021","ENSG00000078053","No"
"55","CHRM4","cholinergic receptor, muscarinic 4 [Source:HGNC Symbol;Acc:1953]",-0.55332853,0.774072176,"cortical organoid","Urresti et al. 2021","ENSG00000180720","No"
"56","COL2A1","collagen, type II, alpha 1 [Source:HGNC Symbol;Acc:2200]",0.980790656,0.670887864,"cortical organoid","Urresti et al. 2021","ENSG00000139219","No"
"57","INADL","InaD-like (Drosophila) [Source:HGNC Symbol;Acc:28881]",0.67161064,0.473420709,"cortical organoid","Urresti et al. 2021","ENSG00000132849","No"
"58","ATP6V1G2","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 [Source:HGNC Symbol;Acc:862]",0.012622103,0.997108109,"cortical organoid","Urresti et al. 2021","ENSG00000213760","No"
"59","CARS","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]",-0.298252816,0.349314517,"cortical organoid","Urresti et al. 2021","ENSG00000110619","No"
"60","DNLZ","DNL-type zinc finger [Source:HGNC Symbol;Acc:33879]",-0.395734592,0.709840844,"cortical organoid","Urresti et al. 2021","ENSG00000213221","No"
"61","IRX1","iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358]",0.550672663,0.813312999,"cortical organoid","Urresti et al. 2021","ENSG00000170549","No"
"62","AKT1S1","AKT1 substrate 1 (proline-rich) [Source:HGNC Symbol;Acc:28426]",-0.227784632,0.588155111,"cortical organoid","Urresti et al. 2021","ENSG00000204673","No"
"63","CASP3","caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]",-0.173797927,0.726502992,"cortical organoid","Urresti et al. 2021","ENSG00000164305","No"
"64","NPIPA5","nuclear pore complex interacting protein family, member A5 [Source:HGNC Symbol;Acc:41980]",-2.066735892,0.113393725,"cortical organoid","Urresti et al. 2021","ENSG00000183793","No"
"65","CPNE1","copine I [Source:HGNC Symbol;Acc:2314]",0.442208252,0.12236273,"cortical organoid","Urresti et al. 2021","ENSG00000214078","No"
"66","HLA-C","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:4933]",-3.93332225,0.167487054,"cortical organoid","Urresti et al. 2021","ENSG00000204525","No"
"67","NANOS1","nanos homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:23044]",-0.09472306,0.926780478,"cortical organoid","Urresti et al. 2021","ENSG00000188613","No"
"68","ABCA8","ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:38]",0.191837715,0.941409763,"cortical organoid","Urresti et al. 2021","ENSG00000141338","No"
"69","SNHG17","small nucleolar RNA host gene 17 (non-protein coding) [Source:HGNC Symbol;Acc:48600]",0.487630088,0.516709033,"cortical organoid","Urresti et al. 2021","ENSG00000196756","No"
"70","C5orf38","chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:24226]",0.899034544,0.703815637,"cortical organoid","Urresti et al. 2021","ENSG00000186493","No"
"71","RP4-798A10.7","",0.194624145,0.912658326,"cortical organoid","Urresti et al. 2021","ENSG00000261135","No"
"72","LINC01105","long intergenic non-protein coding RNA 1105 [Source:HGNC Symbol;Acc:26403]",0.897333868,0.50099816,"cortical organoid","Urresti et al. 2021","ENSG00000232044","No"
"73","CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]",1.807170936,0.125853747,"cortical organoid","Urresti et al. 2021","ENSG00000138061","No"
"74","BCKDHB","branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:987]",0.213024126,0.789523897,"cortical organoid","Urresti et al. 2021","ENSG00000083123","No"
"75","CCDC3","coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:23813]",-0.565814685,0.668921526,"cortical organoid","Urresti et al. 2021","ENSG00000151468","No"
"76","SLC35G1","solute carrier family 35, member G1 [Source:HGNC Symbol;Acc:26607]",0.492717323,0.568188844,"cortical organoid","Urresti et al. 2021","ENSG00000176273","No"
"77","DRP2","dystrophin related protein 2 [Source:HGNC Symbol;Acc:3032]",0.353434057,0.832003673,"cortical organoid","Urresti et al. 2021","ENSG00000102385","No"
"78","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]",0.303959937,0.771503492,"cortical organoid","Urresti et al. 2021","ENSG00000006282","No"
"79","NAIP","NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]",0.447963733,0.706182044,"cortical organoid","Urresti et al. 2021","ENSG00000249437","No"
"80","EIF3B","eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:3280]",-0.209722784,0.774072176,"cortical organoid","Urresti et al. 2021","ENSG00000106263","No"
"81","SLC16A14","solute carrier family 16, member 14 [Source:HGNC Symbol;Acc:26417]",0.269343336,0.619992897,"cortical organoid","Urresti et al. 2021","ENSG00000163053","No"
"82","ATXN3","ataxin 3 [Source:HGNC Symbol;Acc:7106]",0.054215074,0.964318892,"cortical organoid","Urresti et al. 2021","ENSG00000066427","No"
"83","RFX4","regulatory factor X, 4 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9985]",0.468196953,0.796478379,"cortical organoid","Urresti et al. 2021","ENSG00000111783","No"
"84","ILF3-AS1","ILF3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:27115]",0.132931126,0.868064047,"cortical organoid","Urresti et al. 2021","ENSG00000267100","No"
"85","DRAXIN","dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:25054]",0.275561655,0.891487852,"cortical organoid","Urresti et al. 2021","ENSG00000162490","No"
"86","ARHGEF2","Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]",-0.323792308,0.709840844,"cortical organoid","Urresti et al. 2021","ENSG00000116584","No"
"87","TMEM150C","transmembrane protein 150C [Source:HGNC Symbol;Acc:37263]",0.360256667,0.836602066,"cortical organoid","Urresti et al. 2021","ENSG00000249242","No"
"88","TRIM36","tripartite motif containing 36 [Source:HGNC Symbol;Acc:16280]",0.279265919,0.796478379,"cortical organoid","Urresti et al. 2021","ENSG00000152503","No"
"89","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]",-0.123214891,0.944182329,"cortical organoid","Urresti et al. 2021","ENSG00000003249","No"
"90","NDUFA6-AS1","NDUFA6 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:45273]",0.247135636,0.792805714,"cortical organoid","Urresti et al. 2021","ENSG00000237037","No"
"91","SMG8","SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:25551]",-0.143365326,0.72548032,"cortical organoid","Urresti et al. 2021","ENSG00000167447","No"
"92","CTSH","cathepsin H [Source:HGNC Symbol;Acc:2535]",0.555701804,0.686674679,"cortical organoid","Urresti et al. 2021","ENSG00000103811","No"
"93","MARC1","mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:26189]",0.408771907,0.512888056,"cortical organoid","Urresti et al. 2021","ENSG00000186205","No"
"94","BBS1","Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:966]",0.04169243,0.964318892,"cortical organoid","Urresti et al. 2021","ENSG00000174483","No"
"95","KCNIP3","Kv channel interacting protein 3, calsenilin [Source:HGNC Symbol;Acc:15523]",-0.560257854,0.666231513,"cortical organoid","Urresti et al. 2021","ENSG00000115041","No"
"96","NR2F1-AS1","NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:48622]",0.048727477,0.984582953,"cortical organoid","Urresti et al. 2021","ENSG00000237187","No"
"97","IFITM3","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:5414]",0.474972882,0.822829663,"cortical organoid","Urresti et al. 2021","ENSG00000142089","No"
"98","CTPS2","CTP synthase 2 [Source:HGNC Symbol;Acc:2520]",-0.018530582,0.991804263,"cortical organoid","Urresti et al. 2021","ENSG00000047230","No"
"99","GTDC1","glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]",0.171368461,0.788247342,"cortical organoid","Urresti et al. 2021","ENSG00000121964","No"
"100","MDFIC","MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:28870]",0.201583009,0.805800312,"cortical organoid","Urresti et al. 2021","ENSG00000135272","No"
"101","LEPR","leptin receptor [Source:HGNC Symbol;Acc:6554]",0.918017222,0.234289207,"cortical organoid","Urresti et al. 2021","ENSG00000116678","No"
"102","AP006222.2","",-1.12694214,0.032835819,"cortical organoid","Urresti et al. 2021","ENSG00000228463","No"
"103","TAF1B","TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa [Source:HGNC Symbol;Acc:11533]",-0.093592278,0.926780478,"cortical organoid","Urresti et al. 2021","ENSG00000115750","No"
"104","RP11-485G4.2","",-0.408054898,0.723973115,"cortical organoid","Urresti et al. 2021","ENSG00000272565","No"
"105","EFNA5","ephrin-A5 [Source:HGNC Symbol;Acc:3225]",0.446489583,0.699085087,"cortical organoid","Urresti et al. 2021","ENSG00000184349","No"
"106","PPIL3","peptidylprolyl isomerase (cyclophilin)-like 3 [Source:HGNC Symbol;Acc:9262]",0.099314399,0.934615808,"cortical organoid","Urresti et al. 2021","ENSG00000240344","No"
"107","NDST3","N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:HGNC Symbol;Acc:7682]",0.416779033,0.796478379,"cortical organoid","Urresti et al. 2021","ENSG00000164100","No"
"108","BAZ1A","bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:960]",-0.345753881,0.410143033,"cortical organoid","Urresti et al. 2021","ENSG00000198604","No"
"109","TMEFF1","transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:HGNC Symbol;Acc:11866]",0.153049486,0.867978523,"cortical organoid","Urresti et al. 2021","ENSG00000241697","No"
"110","IRX5","iroquois homeobox 5 [Source:HGNC Symbol;Acc:14361]",0.64226132,0.751203481,"cortical organoid","Urresti et al. 2021","ENSG00000176842","No"
"111","C11orf96","chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:38675]",-0.364617755,0.917484946,"cortical organoid","Urresti et al. 2021","ENSG00000187479","No"
"112","MARS","methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898]",-0.15688253,0.610426059,"cortical organoid","Urresti et al. 2021","ENSG00000166986","No"
"113","THAP9-AS1","THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:44172]",0.230757775,0.774072176,"cortical organoid","Urresti et al. 2021","ENSG00000251022","No"
"114","RIC8B","RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:25555]",0.144978165,0.73727192,"cortical organoid","Urresti et al. 2021","ENSG00000111785","No"
"115","PDE2A","phosphodiesterase 2A, cGMP-stimulated [Source:HGNC Symbol;Acc:8777]",-0.382026878,0.916507195,"cortical organoid","Urresti et al. 2021","ENSG00000186642","No"
"116","PTPRR","protein tyrosine phosphatase, receptor type, R [Source:HGNC Symbol;Acc:9680]",0.624963983,0.303258429,"cortical organoid","Urresti et al. 2021","ENSG00000153233","No"
"117","ST6GAL1","ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:10860]",0.445587804,0.323520614,"cortical organoid","Urresti et al. 2021","ENSG00000073849","No"
"118","RP11-169K16.7","",0.343219034,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000233954","No"
"119","FTSJ2","FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352]",-0.145145708,0.859894773,"cortical organoid","Urresti et al. 2021","ENSG00000122687","No"
"120","NAP1L1","nucleosome assembly protein 1-like 1 [Source:HGNC Symbol;Acc:7637]",0.020019867,0.985857861,"cortical organoid","Urresti et al. 2021","ENSG00000187109","No"
"121","SOCS2","suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:19382]",0.328330614,0.726828691,"cortical organoid","Urresti et al. 2021","ENSG00000120833","No"
"122","RP11-632C17__A.1","",-2.191207926,0.436097733,"cortical organoid","Urresti et al. 2021","ENSG00000230202","No"
"123","LINC00966","long intergenic non-protein coding RNA 966 [Source:HGNC Symbol;Acc:48723]",0.138179994,0.942686326,"cortical organoid","Urresti et al. 2021","ENSG00000254377","No"
"124","C9orf156","chromosome 9 open reading frame 156 [Source:HGNC Symbol;Acc:30967]",-0.240398106,0.747187196,"cortical organoid","Urresti et al. 2021","ENSG00000136932","No"
"125","RASA3","RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:20331]",0.165364418,0.817896665,"cortical organoid","Urresti et al. 2021","ENSG00000185989","No"
"126","TOMM20","translocase of outer mitochondrial membrane 20 homolog (yeast) [Source:HGNC Symbol;Acc:20947]",0.141718326,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000173726","No"
"127","GRB14","growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:4565]",0.335843315,0.897344239,"cortical organoid","Urresti et al. 2021","ENSG00000115290","No"
"128","GXYLT2","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:33383]",1.092943881,0.224008874,"cortical organoid","Urresti et al. 2021","ENSG00000172986","No"
"129","COX7A2L","cytochrome c oxidase subunit VIIa polypeptide 2 like [Source:HGNC Symbol;Acc:2289]",0.107271956,0.796478379,"cortical organoid","Urresti et al. 2021","ENSG00000115944","No"
"130","RALGAPA2","Ral GTPase activating protein, alpha subunit 2 (catalytic) [Source:HGNC Symbol;Acc:16207]",-0.131717933,0.831007116,"cortical organoid","Urresti et al. 2021","ENSG00000188559","No"
"131","PCDHA4","protocadherin alpha 4 [Source:HGNC Symbol;Acc:8670]",-0.015560084,0.99744829,"cortical organoid","Urresti et al. 2021","ENSG00000204967","No"
"132","P2RX4","purinergic receptor P2X, ligand-gated ion channel, 4 [Source:HGNC Symbol;Acc:8535]",0.402469514,0.703815637,"cortical organoid","Urresti et al. 2021","ENSG00000135124","No"
"133","PHLDB2","pleckstrin homology-like domain, family B, member 2 [Source:HGNC Symbol;Acc:29573]",0.611831412,0.709840844,"cortical organoid","Urresti et al. 2021","ENSG00000144824","No"
"134","FAM196B","family with sequence similarity 196, member B [Source:HGNC Symbol;Acc:37271]",0.265629891,0.873327748,"cortical organoid","Urresti et al. 2021","ENSG00000204767","No"
"135","ADD3","adducin 3 (gamma) [Source:HGNC Symbol;Acc:245]",0.127935941,0.883085404,"cortical organoid","Urresti et al. 2021","ENSG00000148700","No"
"136","IGSF3","immunoglobulin superfamily, member 3 [Source:HGNC Symbol;Acc:5950]",0.14876764,0.910673342,"cortical organoid","Urresti et al. 2021","ENSG00000143061","No"
"137","HERPUD1","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:HGNC Symbol;Acc:13744]",-0.25560031,0.660344796,"cortical organoid","Urresti et al. 2021","ENSG00000051108","No"
"138","GNPTAB","N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:HGNC Symbol;Acc:29670]",0.056506238,0.960861045,"cortical organoid","Urresti et al. 2021","ENSG00000111670","No"
"139","TTC40","tetratricopeptide repeat domain 40 [Source:HGNC Symbol;Acc:25247]",-0.274355965,0.881849385,"cortical organoid","Urresti et al. 2021","ENSG00000171811","No"
"140","NR2F1","nuclear receptor subfamily 2, group F, member 1 [Source:HGNC Symbol;Acc:7975]",0.047403755,0.992890015,"cortical organoid","Urresti et al. 2021","ENSG00000175745","No"
"141","SERF1B","small EDRK-rich factor 1B (centromeric) [Source:HGNC Symbol;Acc:10756]",-0.043496464,0.984582953,"cortical organoid","Urresti et al. 2021","ENSG00000205572","No"
"142","TRMT1","tRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25980]",-0.126637377,0.867049109,"cortical organoid","Urresti et al. 2021","ENSG00000104907","No"
"143","CCDC34","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:25079]",0.293164145,0.743287288,"cortical organoid","Urresti et al. 2021","ENSG00000109881","No"
"144","RN7SL471P","RNA, 7SL, cytoplasmic 471, pseudogene [Source:HGNC Symbol;Acc:46487]",-0.386893138,0.922370916,"cortical organoid","Urresti et al. 2021","ENSG00000263426","No"
"145","TIMM50","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:23656]",-0.17021702,0.794802813,"cortical organoid","Urresti et al. 2021","ENSG00000105197","No"
"146","AKNA","AT-hook transcription factor [Source:HGNC Symbol;Acc:24108]",-0.550886531,0.404542874,"cortical organoid","Urresti et al. 2021","ENSG00000106948","No"
"147","CXADR","coxsackie virus and adenovirus receptor [Source:HGNC Symbol;Acc:2559]",0.088891212,0.878402306,"cortical organoid","Urresti et al. 2021","ENSG00000154639","No"
"148","SGCD","sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:10807]",-0.169411469,0.960226453,"cortical organoid","Urresti et al. 2021","ENSG00000170624","No"
"149","GFRA1","GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:4243]",0.367294646,0.857178373,"cortical organoid","Urresti et al. 2021","ENSG00000151892","No"
"150","FAM174B","family with sequence similarity 174, member B [Source:HGNC Symbol;Acc:34339]",0.247360549,0.792805714,"cortical organoid","Urresti et al. 2021","ENSG00000185442","No"
"151","C2orf43","chromosome 2 open reading frame 43 [Source:HGNC Symbol;Acc:26145]",-0.30123983,0.589857723,"cortical organoid","Urresti et al. 2021","ENSG00000118961","No"
"152","CCDC64","coiled-coil domain containing 64 [Source:HGNC Symbol;Acc:28095]",-0.353047676,0.771503492,"cortical organoid","Urresti et al. 2021","ENSG00000135127","No"
"153","RP1-40E16.9","",0.10794549,0.970164295,"cortical organoid","Urresti et al. 2021","ENSG00000230269","No"
"154","ADCYAP1R1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I [Source:HGNC Symbol;Acc:242]",0.316173851,0.798448416,"cortical organoid","Urresti et al. 2021","ENSG00000078549","No"
"155","ATF5","activating transcription factor 5 [Source:HGNC Symbol;Acc:790]",-0.919796039,0.253019307,"cortical organoid","Urresti et al. 2021","ENSG00000169136","No"
"156","RPS26","ribosomal protein S26 [Source:HGNC Symbol;Acc:10414]",-0.85298925,0.594536198,"cortical organoid","Urresti et al. 2021","ENSG00000197728","No"
