"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"54","LOC101928314","",0.0507,6.04e-11,"hIPSC","Roth et al. 2020","","No"
"55","LOC101928514","",-0.0461,4.28e-06,"hIPSC","Roth et al. 2020","","No"
"56","LOC101929717","",-0.99,2.59e-06,"hIPSC","Roth et al. 2020","","No"
"57","LOC339666","",-0.598,0.000154,"hIPSC","Roth et al. 2020","","No"
"58","LOC392196","",-1.077,1.08e-06,"hIPSC","Roth et al. 2020","","No"
"59","LOC642361","",-0.48,0.000193,"hIPSC","Roth et al. 2020","","No"
"60","LOC643339","",0.0297,2.46e-09,"hIPSC","Roth et al. 2020","","No"
"61","LPAR3","",0.0287,0.00767,"hIPSC","Roth et al. 2020","","No"
"62","LRRC3-AS1","",-0.036,4.42e-11,"hIPSC","Roth et al. 2020","","No"
"63","LTB4R2","",0.62,0.0496,"hIPSC","Roth et al. 2020","","No"
"64","MAZ","",-1.05,2.76e-13,"hIPSC","Roth et al. 2020","","Yes"
"65","MIR197","",2.66e-05,0.0257,"hIPSC","Roth et al. 2020","","No"
"66","MIR301B","",0.0258,1.12e-05,"hIPSC","Roth et al. 2020","","No"
"67","MIR4461","",-1.31,0.00165,"hIPSC","Roth et al. 2020","","No"
"68","MIR4512","",0.0296,1.12e-05,"hIPSC","Roth et al. 2020","","No"
"69","MIR497HG","",-0.417,0.000478,"hIPSC","Roth et al. 2020","","No"
"70","MIR637","",-0.0228,0.0141,"hIPSC","Roth et al. 2020","","No"
"71","MIR6718","",0.0227,1.27e-05,"hIPSC","Roth et al. 2020","","No"
"72","MIR6723","",2.99,6.51e-37,"hIPSC","Roth et al. 2020","","No"
"73","MYOM2","",1.22,1e-06,"hIPSC","Roth et al. 2020","","No"
"74","NKX2-1-AS1","",0.115,0.0141,"hIPSC","Roth et al. 2020","","No"
"75","NQO2","",0.689,0.0158,"hIPSC","Roth et al. 2020","","No"
"76","NUBP1","",-0.77,0.00112,"hIPSC","Roth et al. 2020","","No"
"77","OAS3","",0.0228,0.000212,"hIPSC","Roth et al. 2020","","No"
"78","OTP","",-1.09,0.0118,"hIPSC","Roth et al. 2020","","No"
"79","PAGR1","",-1.15,4.25e-08,"hIPSC","Roth et al. 2020","","No"
"80","PAX3","",-0.766,0.0257,"hIPSC","Roth et al. 2020","","No"
"81","PDXDC1","",-0.596,0.0121,"hIPSC","Roth et al. 2020","","No"
"82","PEG3-AS1","",0.0535,1.12e-08,"hIPSC","Roth et al. 2020","","No"
"83","PIWIL3","",0.031,1.12e-05,"hIPSC","Roth et al. 2020","","No"
"84","PLVAP","",0.135,2.34e-16,"hIPSC","Roth et al. 2020","","No"
"85","PMEL","",-0.619,0.0276,"hIPSC","Roth et al. 2020","","No"
"86","PRRT2","",-1.16,3.89e-08,"hIPSC","Roth et al. 2020","","Yes"
"87","RABGEF1","",-0.574,0.00359,"hIPSC","Roth et al. 2020","","No"
"88","RAF1","",-0.762,5.22e-08,"hIPSC","Roth et al. 2020","","No"
"89","RFPL3","",-0.795,6.75e-05,"hIPSC","Roth et al. 2020","","No"
"90","SCARNA21","",0.0306,2.78e-06,"hIPSC","Roth et al. 2020","","No"
"91","SELE","",0.0417,4.38e-09,"hIPSC","Roth et al. 2020","","No"
"92","SEMA4G","",-0.774,0.000114,"hIPSC","Roth et al. 2020","","No"
"93","SMOC1","",-0.692,0.0193,"hIPSC","Roth et al. 2020","","No"
"94","SNORA26","",-0.0272,0.00233,"hIPSC","Roth et al. 2020","","No"
"95","SNORA71C","",0.0303,0.0341,"hIPSC","Roth et al. 2020","","No"
"96","SNORD11B","",0.0299,0.000166,"hIPSC","Roth et al. 2020","","No"
"97","TAS2R31","",0.0234,5.43e-05,"hIPSC","Roth et al. 2020","","No"
"98","TEKT4","",0.0145,1.12e-05,"hIPSC","Roth et al. 2020","","No"
"99","TNFRSF17","",0.703,0.0221,"hIPSC","Roth et al. 2020","","No"
"100","TNP1","",0.00598,0.00582,"hIPSC","Roth et al. 2020","","No"
"101","TRHDE-AS1","",-0.624,0.0316,"hIPSC","Roth et al. 2020","","No"
"102","TSPEAR","",1.13,1.57e-05,"hIPSC","Roth et al. 2020","","No"
"103","TUBGCP4","",-0.432,0.0211,"hIPSC","Roth et al. 2020","","No"
"104","USP17L7","",-1.28,0.00166,"hIPSC","Roth et al. 2020","","No"
"105","VCX","",-0.0196,0.003,"hIPSC","Roth et al. 2020","","No"
"106","WDR49","",-0.0219,1.23e-12,"hIPSC","Roth et al. 2020","","No"
"107","WDR87","",0.531,0.0483,"hIPSC","Roth et al. 2020","","No"
