ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000149929,HIRIP3,protein_coding,HIRA interacting protein 3 [Source:HGNC Symbol;Acc:4917],1.399761456,9.21E-09,9.62E-06,0.334667344,0.019164143,0.257560739,-1.065094112,1.32E-08,1.63E-05
ENSG00000185928,PAGR1,protein_coding,PAXIP1 associated glutamate-rich protein 1 [Source:HGNC Symbol;Acc:28707],2.251890444,9.97E-09,9.68E-06,0.989281031,7.67E-05,0.017720999,-1.262609413,4.03E-06,0.002740883
ENSG00000169627,BOLA2B,protein_coding,bolA family member 2B [Source:HGNC Symbol;Acc:32479],1.516214765,1.12E-08,1.01E-05,0.677706172,5.44E-05,0.016000412,-0.838508593,6.69E-06,0.004130812
ENSG00000149927,DOC2A,protein_coding,"double C2-like domains, alpha [Source:HGNC Symbol;Acc:2985]",2.289394298,2.61E-08,2.21E-05,0.987440032,0.000515866,0.045978326,-1.301954266,1.11E-06,0.000941814
ENSG00000167371,PRRT2,protein_coding,proline-rich transmembrane protein 2 [Source:HGNC Symbol;Acc:30500],1.634570022,3.35E-08,2.68E-05,0.52265636,0.007121699,0.163186576,-1.111913662,8.16E-08,7.92E-05
ENSG00000079616,KIF22,protein_coding,kinesin family member 22 [Source:HGNC Symbol;Acc:6391],1.39312913,3.99E-08,3.01E-05,0.731048032,3.54E-05,0.013656354,-0.662081098,5.91E-05,0.027686727
ENSG00000267194,RP1-193H18.2,lincRNA,,1.446133568,6.03E-08,4.31E-05,1.176190623,1.22E-07,0.000330853,-0.269942945,0.059973598,0.794802813
ENSG00000174943,KCTD13,protein_coding,potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:22234],1.322297019,6.42E-08,4.36E-05,0.55480472,0.000994412,0.063955741,-0.767492299,2.23E-06,0.001593028
ENSG00000146707,POMZP3,protein_coding,POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:9203],-2.194620682,9.15E-08,5.92E-05,-1.510563829,5.12E-06,0.003790671,0.684056853,0.002016893,0.273561783
ENSG00000198237,RP11-98J23.2,pseudogene,,-1.533000031,1.08E-07,6.64E-05,-1.721290008,1.74E-09,1.18E-05,-0.188289977,0.159639708,0.876556979
ENSG00000233016,SNHG7,antisense,small nucleolar RNA host gene 7 (non-protein coding) [Source:HGNC Symbol;Acc:28254],-1.868225814,1.96E-07,0.000115745,-1.294330151,4.17E-06,0.003542269,0.573895663,0.006238578,0.436097733
ENSG00000178904,DPY19L3,protein_coding,dpy-19-like 3 (C. elegans) [Source:HGNC Symbol;Acc:27120],-0.825255332,3.28E-07,0.00018572,-0.56840413,5.81E-06,0.003947771,0.256851201,0.008002123,0.490087816
ENSG00000013364,MVP,protein_coding,major vault protein [Source:HGNC Symbol;Acc:7531],1.733405919,5.90E-07,0.000320449,0.707452447,0.001138304,0.067972622,-1.025953472,7.73E-05,0.032835819
ENSG00000048540,LMO3,protein_coding,LIM domain only 3 (rhombotin-like 2) [Source:HGNC Symbol;Acc:6643],-2.462158373,6.99E-07,0.000364263,-1.947762617,4.91E-06,0.003790671,0.514395755,0.042513078,0.747187196
ENSG00000103485,QPRT,protein_coding,quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755],0.910557313,7.24E-07,0.000364263,0.029280805,0.795710646,0.955218328,-0.881276508,1.11E-08,1.51E-05
ENSG00000223953,C1QTNF5,protein_coding,C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:14344],-1.277186098,1.63E-06,0.000791866,-0.764157703,6.78E-05,0.01769084,0.513028395,0.004105256,0.392832563
ENSG00000149926,FAM57B,protein_coding,"family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",1.772932549,1.82E-06,0.000853942,0.777022511,0.002384153,0.097284909,-0.995910038,0.000134233,0.045599008
ENSG00000172062,SMN1,protein_coding,"survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:11117]",-0.650824791,1.92E-06,0.000871511,-0.535018674,2.34E-06,0.002447353,0.115806117,0.146376186,0.868513916
ENSG00000141449,GREB1L,protein_coding,growth regulation by estrogen in breast cancer-like [Source:HGNC Symbol;Acc:31042],-2.552820707,2.34E-06,0.001025971,-2.058358705,1.39E-05,0.006743857,0.494462002,0.067307401,0.794802813
ENSG00000205571,SMN2,protein_coding,"survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]",-4.241826133,2.83E-06,0.001199636,-3.104729272,8.68E-05,0.018427337,1.13709686,0.008222236,0.496565931
ENSG00000144057,ST6GAL2,protein_coding,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 [Source:HGNC Symbol;Acc:10861]",-1.262210565,3.00E-06,0.001235085,-0.8775669,6.81E-05,0.01769084,0.384643665,0.012849735,0.56693075
ENSG00000152208,GRID2,protein_coding,"glutamate receptor, ionotropic, delta 2 [Source:HGNC Symbol;Acc:4576]",-1.646746156,3.72E-06,0.00148639,-1.56836397,1.55E-06,0.001753407,0.078382187,0.659312679,0.983396343
ENSG00000109255,NMU,protein_coding,neuromedin U [Source:HGNC Symbol;Acc:7859],-1.356687777,4.62E-06,0.001793804,-1.23218923,3.53E-06,0.003200802,0.124498547,0.414818869,0.942095736
ENSG00000180185,FAHD1,protein_coding,fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:14169],0.933273192,5.98E-06,0.002234231,0.293200714,0.039521943,0.344246254,-0.640072478,1.79E-05,0.009354425
ENSG00000260947,RP11-384P7.7,lincRNA,,-1.176489261,6.22E-06,0.002234231,-0.905388721,4.60E-05,0.01525454,0.27110054,0.053997942,0.790781332
ENSG00000101361,NOP56,protein_coding,NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:15911],0.474377382,6.25E-06,0.002234231,0.312974194,0.000123787,0.021007444,-0.161403188,0.014572319,0.588155111
ENSG00000149527,PLCH2,protein_coding,"phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]",1.364743894,6.62E-06,0.00230784,0.890735653,0.00015457,0.023632425,-0.474008241,0.012719369,0.566658328
ENSG00000204764,RANBP17,protein_coding,RAN binding protein 17 [Source:HGNC Symbol;Acc:14428],-0.569451272,7.28E-06,0.002472065,-0.377214181,0.000198671,0.028120197,0.192237091,0.011896552,0.557414976
ENSG00000273081,RP4-813F11.4,lincRNA,,1.143675707,7.52E-06,0.002492126,1.008537337,2.97E-06,0.002882475,-0.13513837,0.373674506,0.926780478
ENSG00000108984,MAP2K6,protein_coding,mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:6846],1.192946551,7.80E-06,0.00252257,0.998967845,6.43E-06,0.004163513,-0.193978706,0.227196362,0.91126177
ENSG00000111731,C2CD5,protein_coding,C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062],-0.53195525,8.78E-06,0.002734038,-0.365782085,0.000126405,0.021007444,0.166173165,0.023006259,0.657005756
ENSG00000183336,BOLA2,protein_coding,bolA family member 2 [Source:HGNC Symbol;Acc:29488],1.96446402,8.85E-06,0.002734038,0.68489746,0.020090695,0.264015828,-1.27956656,0.000108936,0.044715233
ENSG00000172661,FAM21C,protein_coding,"family with sequence similarity 21, member C [Source:HGNC Symbol;Acc:23414]",-0.929319251,1.06E-05,0.003201034,-0.660975432,0.000115351,0.02095643,0.26834382,0.033068577,0.709840844
ENSG00000104490,NCALD,protein_coding,neurocalcin delta [Source:HGNC Symbol;Acc:7655],-1.101184657,1.20E-05,0.003540945,-0.83760172,4.00E-05,0.014698508,0.263582937,0.086864936,0.810625043
ENSG00000196226,HIST1H2BB,protein_coding,"histone cluster 1, H2bb [Source:HGNC Symbol;Acc:4751]",5.263064185,1.27E-05,0.003657567,2.909897016,0.000744074,0.056800466,-2.353167169,0.00513649,0.410556654
ENSG00000174939,ASPHD1,protein_coding,aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380],1.537502296,1.39E-05,0.00393534,0.446909245,0.07682698,0.452065538,-1.090593051,1.51E-05,0.008566833
ENSG00000170561,IRX2,protein_coding,iroquois homeobox 2 [Source:HGNC Symbol;Acc:14359],-3.379565556,1.47E-05,0.004003653,-2.841102705,4.29E-05,0.01525454,0.538462852,0.175051885,0.886973971
ENSG00000143995,MEIS1,protein_coding,Meis homeobox 1 [Source:HGNC Symbol;Acc:7000],-3.346578967,1.47E-05,0.004003653,-2.560833447,9.64E-05,0.019553929,0.78574552,0.067184667,0.794802813
ENSG00000219481,NBPF1,protein_coding,"neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]",-0.75763742,1.64E-05,0.004368433,-0.537547618,0.000125834,0.021007444,0.220089802,0.044521216,0.757863229
ENSG00000197958,RPL12,protein_coding,ribosomal protein L12 [Source:HGNC Symbol;Acc:10302],-0.589478849,1.78E-05,0.004655657,-0.66603863,1.16E-07,0.000330853,-0.076559781,0.360195253,0.926780478
ENSG00000154764,WNT7A,protein_coding,"wingless-type MMTV integration site family, member 7A [Source:HGNC Symbol;Acc:12786]",-3.205000758,2.39E-05,0.006115833,-2.189785732,0.001035473,0.064281264,1.015215026,0.005070947,0.410143033
ENSG00000078053,AMPH,protein_coding,amphiphysin [Source:HGNC Symbol;Acc:471],-0.729111663,2.56E-05,0.006452448,-0.569509762,8.81E-05,0.018427337,0.159601901,0.116087855,0.843581457
ENSG00000180720,CHRM4,protein_coding,"cholinergic receptor, muscarinic 4 [Source:HGNC Symbol;Acc:1953]",1.783372121,2.81E-05,0.006933956,1.230043591,0.000170307,0.025035694,-0.55332853,0.049732485,0.774072176
ENSG00000139219,COL2A1,protein_coding,"collagen, type II, alpha 1 [Source:HGNC Symbol;Acc:2200]",-2.685508248,2.92E-05,0.00696275,-1.704717592,0.000374847,0.040186324,0.980790656,0.02512613,0.670887864
ENSG00000132849,INADL,protein_coding,InaD-like (Drosophila) [Source:HGNC Symbol;Acc:28881],-1.567410244,2.92E-05,0.00696275,-0.895799604,0.001502414,0.077262877,0.67161064,0.007455993,0.473420709
ENSG00000213760,ATP6V1G2,protein_coding,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 [Source:HGNC Symbol;Acc:862]",-0.828340672,3.14E-05,0.007360654,-0.815718568,5.30E-06,0.003790671,0.012622103,0.910190999,0.997108109
ENSG00000110619,CARS,protein_coding,cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493],0.633039243,3.47E-05,0.007994156,0.334786427,0.004155588,0.123141782,-0.298252816,0.002930663,0.349314517
ENSG00000213221,DNLZ,protein_coding,DNL-type zinc finger [Source:HGNC Symbol;Acc:33879],1.195794862,3.75E-05,0.008496493,0.80006027,0.000443414,0.044630483,-0.395734592,0.033843375,0.709840844
ENSG00000170549,IRX1,protein_coding,iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358],-2.64767723,3.88E-05,0.008644214,-2.097004567,0.000250443,0.032103995,0.550672663,0.088602585,0.813312999
ENSG00000204673,AKT1S1,protein_coding,AKT1 substrate 1 (proline-rich) [Source:HGNC Symbol;Acc:28426],0.56102111,3.97E-05,0.008696031,0.333236478,0.001016665,0.063955741,-0.227784632,0.01495778,0.588155111
ENSG00000164305,CASP3,protein_coding,"caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]",0.535578114,4.22E-05,0.009109016,0.361780187,0.000452089,0.04483933,-0.173797927,0.038168389,0.726502992
ENSG00000183793,NPIPA5,protein_coding,"nuclear pore complex interacting protein family, member A5 [Source:HGNC Symbol;Acc:41980]",3.213470421,4.90E-05,0.010396235,1.146734529,0.035899276,0.328042613,-2.066735892,0.000450637,0.113393725
ENSG00000214078,CPNE1,protein_coding,copine I [Source:HGNC Symbol;Acc:2314],-0.748522516,5.01E-05,0.010474265,-0.306314264,0.024624368,0.284278603,0.442208252,0.000531307,0.12236273
ENSG00000204525,HLA-C,protein_coding,"major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:4933]",5.447980561,5.29E-05,0.010886416,1.514658311,0.02840639,0.301458259,-3.93332225,0.000862827,0.167487054
ENSG00000188613,NANOS1,protein_coding,nanos homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:23044],0.669986568,5.67E-05,0.011355392,0.575263508,2.87E-05,0.011815595,-0.09472306,0.368834551,0.926780478
ENSG00000141338,ABCA8,protein_coding,"ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:38]",-1.645286796,5.68E-05,0.011355392,-1.453449082,4.58E-05,0.01525454,0.191837715,0.412854552,0.941409763
ENSG00000196756,SNHG17,processed_transcript,small nucleolar RNA host gene 17 (non-protein coding) [Source:HGNC Symbol;Acc:48600],-1.137559887,5.92E-05,0.011652882,-0.649929798,0.002683003,0.103276603,0.487630088,0.009620797,0.516709033
ENSG00000186493,C5orf38,protein_coding,chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:24226],-3.1072546,6.34E-05,0.01231545,-2.208220056,0.001007376,0.063955741,0.899034544,0.030798428,0.703815637
ENSG00000261135,RP4-798A10.7,lincRNA,,-1.179926389,6.69E-05,0.012637183,-0.985302243,0.000128869,0.021097219,0.194624145,0.243051341,0.912658326
ENSG00000232044,LINC01105,processed_transcript,long intergenic non-protein coding RNA 1105 [Source:HGNC Symbol;Acc:26403],-2.520823021,6.70E-05,0.012637183,-1.623489154,0.00261758,0.101654552,0.897333868,0.008922693,0.50099816
ENSG00000138061,CYP1B1,protein_coding,"cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]",-2.755813278,6.94E-05,0.012923038,-0.948642341,0.044936996,0.363267067,1.807170936,0.000565329,0.125853747
ENSG00000083123,BCKDHB,protein_coding,"branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:987]",-0.678392567,7.44E-05,0.013656931,-0.465368442,0.000606278,0.050295253,0.213024126,0.053688555,0.789523897
ENSG00000151468,CCDC3,protein_coding,coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:23813],1.435100761,8.56E-05,0.015500702,0.869286076,0.001467745,0.07709927,-0.565814685,0.024959024,0.668921526
ENSG00000176273,SLC35G1,protein_coding,"solute carrier family 35, member G1 [Source:HGNC Symbol;Acc:26607]",-1.146238316,8.90E-05,0.015827302,-0.653520993,0.003118611,0.10969554,0.492717323,0.013291163,0.568188844
ENSG00000102385,DRP2,protein_coding,dystrophin related protein 2 [Source:HGNC Symbol;Acc:3032],-1.64959009,9.14E-05,0.015827302,-1.296156033,0.000517713,0.045978326,0.353434057,0.108020342,0.832003673
ENSG00000006282,SPATA20,protein_coding,spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125],-0.925373803,9.16E-05,0.015827302,-0.621413866,0.000850779,0.060974557,0.303959937,0.048783218,0.771503492
ENSG00000249437,NAIP,protein_coding,"NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]",-1.44143942,9.20E-05,0.015827302,-0.993475687,0.001499992,0.077262877,0.447963733,0.031371718,0.706182044
ENSG00000106263,EIF3B,protein_coding,"eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:3280]",0.637491766,9.91E-05,0.016832261,0.427768983,0.00091591,0.062429433,-0.209722784,0.049697191,0.774072176
ENSG00000163053,SLC16A14,protein_coding,"solute carrier family 16, member 14 [Source:HGNC Symbol;Acc:26417]",-0.683239671,0.000112275,0.018450462,-0.413896335,0.003015434,0.107825562,0.269343336,0.01842058,0.619992897
ENSG00000066427,ATXN3,protein_coding,ataxin 3 [Source:HGNC Symbol;Acc:7106],-0.502291785,0.000114113,0.018450462,-0.448076711,5.56E-05,0.016000412,0.054215074,0.495832598,0.964318892
ENSG00000111783,RFX4,protein_coding,"regulatory factor X, 4 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9985]",-1.719689288,0.000114593,0.018450462,-1.251492336,0.000876879,0.061737995,0.468196953,0.072571649,0.796478379
ENSG00000267100,ILF3-AS1,lincRNA,ILF3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:27115],-0.572337916,0.000115405,0.018450462,-0.43940679,0.000373254,0.040186324,0.132931126,0.143145495,0.868064047
ENSG00000162490,DRAXIN,protein_coding,dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:25054],-1.252996089,0.000115417,0.018450462,-0.977434434,0.000233709,0.03053493,0.275561655,0.181370367,0.891487852
ENSG00000116584,ARHGEF2,protein_coding,Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682],0.899143381,0.000125897,0.019891708,0.575351073,0.001879015,0.085989195,-0.323792308,0.033772282,0.709840844
ENSG00000249242,TMEM150C,protein_coding,transmembrane protein 150C [Source:HGNC Symbol;Acc:37263],-1.384014339,0.000131285,0.02050463,-1.023757673,0.000564073,0.048205164,0.360256667,0.110781392,0.836602066
ENSG00000152503,TRIM36,protein_coding,tripartite motif containing 36 [Source:HGNC Symbol;Acc:16280],-0.973730312,0.000136717,0.020959715,-0.694464393,0.000933876,0.062565507,0.279265919,0.076592483,0.796478379
ENSG00000003249,DBNDD1,protein_coding,dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455],0.972368121,0.000137284,0.020959715,0.84915323,0.000103793,0.020439714,-0.123214891,0.422061103,0.944182329
ENSG00000237037,NDUFA6-AS1,processed_transcript,NDUFA6 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:45273],-0.804719434,0.000143401,0.021650328,-0.557583798,0.001420163,0.075973118,0.247135636,0.0553027,0.792805714
ENSG00000167447,SMG8,protein_coding,SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:25551],0.399205535,0.000146292,0.021844125,0.255840209,0.001991226,0.086917997,-0.143365326,0.037427267,0.72548032
ENSG00000103811,CTSH,protein_coding,cathepsin H [Source:HGNC Symbol;Acc:2535],-1.30598309,0.000154337,0.022182907,-0.750281286,0.00236872,0.096946302,0.555701804,0.027435875,0.686674679
ENSG00000186205,MARC1,protein_coding,mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:26189],-0.849888501,0.00015612,0.022182907,-0.441116595,0.008229144,0.174192425,0.408771907,0.009474161,0.512888056
ENSG00000174483,BBS1,protein_coding,Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:966],-0.363287908,0.000157525,0.022182907,-0.321595478,6.15E-05,0.017067307,0.04169243,0.497425845,0.964318892
ENSG00000115041,KCNIP3,protein_coding,"Kv channel interacting protein 3, calsenilin [Source:HGNC Symbol;Acc:15523]",1.427656067,0.000159966,0.022182907,0.867398213,0.003365466,0.112987503,-0.560257854,0.02471156,0.666231513
ENSG00000237187,NR2F1-AS1,processed_transcript,NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:48622],-0.871560008,0.000160006,0.022182907,-0.822832531,7.51E-05,0.017720999,0.048727477,0.704858508,0.984582953
ENSG00000142089,IFITM3,protein_coding,interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:5414],-1.709289404,0.000160996,0.022182907,-1.234316522,0.000853318,0.060974557,0.474972882,0.095089214,0.822829663
ENSG00000047230,CTPS2,protein_coding,CTP synthase 2 [Source:HGNC Symbol;Acc:2520],-0.496233232,0.00016183,0.022182907,-0.514763814,9.31E-06,0.005059184,-0.018530582,0.82053113,0.991804263
ENSG00000121964,GTDC1,protein_coding,glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887],-0.543724765,0.000162813,0.022182907,-0.372356304,0.001677372,0.083182972,0.171368461,0.053532877,0.788247342
ENSG00000135272,MDFIC,protein_coding,MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:28870],-0.651401964,0.000163254,0.022182907,-0.449818956,0.000822126,0.060712232,0.201583009,0.083141893,0.805800312
ENSG00000116678,LEPR,protein_coding,leptin receptor [Source:HGNC Symbol;Acc:6554],-1.507567756,0.000167273,0.022504077,-0.589550534,0.04386944,0.360247993,0.918017222,0.001402908,0.234289207
ENSG00000228463,AP006222.2,lincRNA,,1.521992459,0.000176033,0.023348164,0.395050319,0.19702697,0.622162493,-1.12694214,7.66E-05,0.032835819
ENSG00000115750,TAF1B,protein_coding,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa [Source:HGNC Symbol;Acc:11533]",0.596095184,0.000178131,0.023348164,0.502502906,0.000112404,0.02095643,-0.093592278,0.36668926,0.926780478
ENSG00000272565,RP11-485G4.2,lincRNA,,1.095000447,0.000178702,0.023348164,0.68694555,0.002596692,0.101482748,-0.408054898,0.035719942,0.723973115
ENSG00000184349,EFNA5,protein_coding,ephrin-A5 [Source:HGNC Symbol;Acc:3225],-1.185717758,0.000182413,0.023605965,-0.739228175,0.003290679,0.111228236,0.446489583,0.029703635,0.699085087
ENSG00000240344,PPIL3,protein_coding,peptidylprolyl isomerase (cyclophilin)-like 3 [Source:HGNC Symbol;Acc:9262],-0.712065754,0.000185809,0.023818572,-0.612751355,0.000158268,0.023632425,0.099314399,0.393618071,0.934615808
ENSG00000164100,NDST3,protein_coding,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:HGNC Symbol;Acc:7682],-1.691280611,0.000197658,0.025100678,-1.274501578,0.001650097,0.082736212,0.416779033,0.072890825,0.796478379
ENSG00000198604,BAZ1A,protein_coding,"bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:960]",0.656497526,0.000201666,0.025372593,0.310743644,0.018682821,0.253837858,-0.345753881,0.005056948,0.410143033
ENSG00000241697,TMEFF1,protein_coding,transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:HGNC Symbol;Acc:11866],-0.604296195,0.000206364,0.025725476,-0.45124671,0.000666766,0.053609529,0.153049486,0.141551063,0.867978523
ENSG00000176842,IRX5,protein_coding,iroquois homeobox 5 [Source:HGNC Symbol;Acc:14361],-2.272824567,0.00021734,0.026608976,-1.630563247,0.002701737,0.103411834,0.64226132,0.043533758,0.751203481
ENSG00000187479,C11orf96,protein_coding,chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:38675],2.03115511,0.000218945,0.026608976,1.666537355,0.000171351,0.025035694,-0.364617755,0.317143399,0.917484946
ENSG00000166986,MARS,protein_coding,methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898],0.366453918,0.000220681,0.026608976,0.209571389,0.006554339,0.154887577,-0.15688253,0.017924639,0.610426059
ENSG00000251022,THAP9-AS1,antisense,THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:44172],-0.689686032,0.000222026,0.026608976,-0.458928257,0.00252342,0.099675094,0.230757775,0.049579396,0.774072176
ENSG00000111785,RIC8B,protein_coding,RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:25555],-0.405857629,0.000223243,0.026608976,-0.260879464,0.00312424,0.10969554,0.144978165,0.039712394,0.73727192
ENSG00000186642,PDE2A,protein_coding,"phosphodiesterase 2A, cGMP-stimulated [Source:HGNC Symbol;Acc:8777]",2.317355744,0.000234527,0.027710855,1.935328866,0.000355313,0.03990073,-0.382026878,0.306681919,0.916507195
ENSG00000153233,PTPRR,protein_coding,"protein tyrosine phosphatase, receptor type, R [Source:HGNC Symbol;Acc:9680]",-1.16601195,0.000238169,0.027898619,-0.541047967,0.031206374,0.311788389,0.624963983,0.002343401,0.303258429
ENSG00000073849,ST6GAL1,protein_coding,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:10860]",-0.802161313,0.000241303,0.028024168,-0.356573509,0.033841307,0.323855605,0.445587804,0.002576311,0.323520614
ENSG00000233954,RP11-169K16.7,pseudogene,,-1.049203881,0.000256201,0.029295107,-0.705984847,0.002076957,0.087644994,0.343219034,0.066451989,0.794802813
ENSG00000122687,FTSJ2,protein_coding,FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352],0.530446659,0.000256559,0.029295107,0.385300951,0.000846638,0.060974557,-0.145145708,0.131287192,0.859894773
ENSG00000187109,NAP1L1,protein_coding,nucleosome assembly protein 1-like 1 [Source:HGNC Symbol;Acc:7637],-0.363099866,0.000260507,0.029498027,-0.343079999,5.13E-05,0.016000412,0.020019867,0.751872223,0.985857861
