ENSEMBL ID,HGNC Symbol,Gene Biotype,Description,log2(FC) DUP vs DEL,"P value, DUP vs DEL","FDR-adjusted P value, DUP vs DEL",log2(FC) DUP vs CTL,"P value, DUP vs CTL","FDR-adjusted P value, DUP vs CTL",log2(FC) DEL vs CTL,"P value, DEL vs CTL","FDR-adjusted P value, DEL vs CTL"
ENSG00000167371,PRRT2,protein_coding,proline-rich transmembrane protein 2 [Source:HGNC Symbol;Acc:30500],1.664678568,7.27E-11,7.87E-08,0.460339393,0.005297528,0.545673912,-1.204339174,2.35E-07,0.0002152
ENSG00000079616,KIF22,protein_coding,kinesin family member 22 [Source:HGNC Symbol;Acc:6391],1.504209398,8.67E-11,8.60E-08,0.908931454,1.07E-06,0.001280091,-0.595277944,0.000716109,0.080481227
ENSG00000198237,RP11-98J23.2,pseudogene,,-1.394348636,2.71E-10,2.48E-07,-1.404495202,7.91E-10,4.71E-06,-0.010146566,0.942361593,0.991911533
ENSG00000174943,KCTD13,protein_coding,potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:22234],1.379173828,3.43E-10,2.92E-07,0.558529751,0.000337093,0.109464732,-0.820644076,1.53E-05,0.005363205
ENSG00000149927,DOC2A,protein_coding,"double C2-like domains, alpha [Source:HGNC Symbol;Acc:2985]",1.566492724,4.54E-10,3.60E-07,0.728313733,6.56E-05,0.032574971,-0.838178991,8.33E-05,0.017710025
ENSG00000149929,HIRIP3,protein_coding,HIRA interacting protein 3 [Source:HGNC Symbol;Acc:4917],1.273288064,5.68E-10,4.23E-07,0.434925579,0.001767646,0.300010624,-0.838362485,5.93E-06,0.002824589
ENSG00000090238,YPEL3,protein_coding,yippee-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18327],1.638904411,9.58E-10,6.71E-07,0.58934682,0.001411912,0.271292144,-1.049557591,1.26E-05,0.0047814
ENSG00000102882,MAPK3,protein_coding,mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:6877],1.427063853,1.18E-09,7.82E-07,0.276601673,0.068731523,0.999945608,-1.15046218,3.70E-07,0.000293501
ENSG00000146707,POMZP3,protein_coding,POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:9203],-1.817357866,2.56E-09,1.61E-06,-1.248410925,6.86E-06,0.005220601,0.568946941,0.008174701,0.229682117
ENSG00000103485,QPRT,protein_coding,quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755],1.592713002,3.75E-09,2.24E-06,0.204702134,0.267702327,0.999945608,-1.388010868,1.51E-07,0.000163119
ENSG00000169627,BOLA2B,protein_coding,bolA family member 2B [Source:HGNC Symbol;Acc:32479],1.380837257,1.19E-08,6.76E-06,0.457894405,0.005863119,0.577250729,-0.922942852,4.57E-05,0.011842462
ENSG00000149926,FAM57B,protein_coding,"family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",1.719823645,8.11E-08,4.39E-05,0.582942434,0.011248806,0.74176598,-1.136881211,0.000166287,0.031204372
ENSG00000204525,HLA-C,protein_coding,"major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:4933]",4.137673231,2.13E-07,0.000110324,0.422970254,0.3171466,0.999945608,-3.714702976,1.24E-05,0.0047814
ENSG00000205572,SERF1B,protein_coding,small EDRK-rich factor 1B (centromeric) [Source:HGNC Symbol;Acc:10756],-0.619348247,2.63E-07,0.000130307,-0.453849662,3.82E-05,0.020690873,0.165498585,0.085266805,0.557510124
ENSG00000238045,AC009133.14,antisense,,1.905793659,3.71E-07,0.000176646,0.8042659,0.003756638,0.466175242,-1.10152776,0.001727642,0.121067056
ENSG00000174939,ASPHD1,protein_coding,aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380],1.451324862,1.10E-06,0.000502976,0.762979661,0.001641309,0.296256197,-0.6883452,0.010458434,0.248682054
ENSG00000183793,NPIPA5,protein_coding,"nuclear pore complex interacting protein family, member A5 [Source:HGNC Symbol;Acc:41980]",2.468991302,1.50E-06,0.000661654,1.245574405,0.001388777,0.271221394,-1.223416897,0.011215193,0.255825052
ENSG00000099290,FAM21A,protein_coding,"family with sequence similarity 21, member A [Source:HGNC Symbol;Acc:23416]",-0.921714918,2.24E-06,0.000950953,-1.020068509,5.21E-07,0.000690088,-0.098353591,0.531002281,0.91028678
ENSG00000175548,ALG10B,protein_coding,"ALG10B, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:31088]",-2.43661762,4.16E-06,0.001708008,-1.105830172,0.02639045,0.999945608,1.330787448,0.001349228,0.109342518
ENSG00000181625,SLX1B,protein_coding,SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:28748],0.812109145,5.06E-06,0.002008055,0.375150039,0.009698934,0.722146223,-0.436959106,0.00837988,0.232166902
ENSG00000205534,RP11-345J4.8,pseudogene,,1.18736608,5.71E-06,0.002194935,0.714930037,0.001178928,0.237458541,-0.472436044,0.047450697,0.461440779
ENSG00000137331,IER3,protein_coding,immediate early response 3 [Source:HGNC Symbol;Acc:5392],1.156745353,6.28E-06,0.002338815,0.127941802,0.51401989,0.999945608,-1.028803551,8.01E-05,0.017352977
ENSG00000234456,MAGI2-AS3,processed_transcript,MAGI2 antisense RNA 3 [Source:HGNC Symbol;Acc:40862],0.618884363,7.07E-06,0.002553061,0.193411684,0.083234801,0.999945608,-0.425472679,0.001217615,0.103444953
ENSG00000115252,PDE1A,protein_coding,"phosphodiesterase 1A, calmodulin-dependent [Source:HGNC Symbol;Acc:8774]",1.243518227,8.80E-06,0.003032655,-0.115003304,0.617729916,0.999945608,-1.358521531,2.91E-06,0.001650384
ENSG00000169668,BCRP2,pseudogene,breakpoint cluster region pseudogene 2 [Source:HGNC Symbol;Acc:1015],1.36711185,8.91E-06,0.003032655,-0.34070578,0.157139408,0.999945608,-1.70781763,6.92E-07,0.000484779
ENSG00000249437,NAIP,protein_coding,"NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]",-1.235100711,9.57E-06,0.003165497,-0.787746087,0.003020575,0.425427277,0.447354624,0.048466516,0.461701148
ENSG00000013364,MVP,protein_coding,major vault protein [Source:HGNC Symbol;Acc:7531],1.474854392,1.02E-05,0.003291303,0.243453395,0.307346382,0.999945608,-1.231400997,0.000379596,0.05652659
ENSG00000205571,SMN2,protein_coding,"survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]",-2.817026668,1.13E-05,0.0035465,-2.220187879,0.000810106,0.194180656,0.596838789,0.184480169,0.718911432
ENSG00000233369,RP11-396K3.1,pseudogene,,0.474766386,1.43E-05,0.004375202,0.238330217,0.012756068,0.804037236,-0.236436169,0.016604195,0.301405631
ENSG00000171503,ETFDH,protein_coding,electron-transferring-flavoprotein dehydrogenase [Source:HGNC Symbol;Acc:3483],0.737851692,1.60E-05,0.004773457,0.171024845,0.208605957,0.999945608,-0.566826847,0.000806347,0.085008919
ENSG00000162576,MXRA8,protein_coding,matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:7542],1.595204504,1.79E-05,0.005213741,-0.019471084,0.943616615,0.999945608,-1.614675588,5.08E-05,0.012555044
ENSG00000267751,AC009005.2,antisense,,1.347101052,1.99E-05,0.005650925,-0.20363718,0.393411089,0.999945608,-1.550738232,8.53E-06,0.003525995
ENSG00000075790,BCAP29,protein_coding,B-cell receptor-associated protein 29 [Source:HGNC Symbol;Acc:24131],0.394598057,3.39E-05,0.009384105,0.010154123,0.897641071,0.999945608,-0.384443934,7.12E-05,0.015998361
ENSG00000213221,DNLZ,protein_coding,DNL-type zinc finger [Source:HGNC Symbol;Acc:33879],0.82466572,4.23E-05,0.011445839,0.393441496,0.020463294,0.938717776,-0.431224224,0.023940093,0.353635156
ENSG00000215421,ZNF407,protein_coding,zinc finger protein 407 [Source:HGNC Symbol;Acc:19904],-0.418727712,4.89E-05,0.012941795,-0.077170184,0.388668694,0.999945608,0.341557528,0.000551982,0.06999034
ENSG00000204472,AIF1,protein_coding,allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:352],2.305028879,5.18E-05,0.013417722,-0.430931798,0.305530346,0.999945608,-2.735960677,1.92E-05,0.00654662
ENSG00000230202,RP11-632C17__A.1,pseudogene,,3.167002036,5.50E-05,0.013937154,1.881671571,0.001768472,0.300010624,-1.285330465,0.097545041,0.58635815
ENSG00000250722,SEPP1,protein_coding,"selenoprotein P, plasma, 1 [Source:HGNC Symbol;Acc:10751]",1.17992492,6.37E-05,0.015735056,-0.195349827,0.383473864,0.999945608,-1.375274747,2.70E-05,0.008044955
ENSG00000108439,PNPO,protein_coding,pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:30260],1.076481769,6.47E-05,0.015735056,-0.156432673,0.472136758,0.999945608,-1.232914443,2.30E-05,0.007203356
ENSG00000197471,SPN,protein_coding,sialophorin [Source:HGNC Symbol;Acc:11249],2.082247222,7.06E-05,0.016826751,0.128924731,0.744874564,0.999945608,-1.953322491,0.000432418,0.061179319
ENSG00000186073,C15orf41,protein_coding,chromosome 15 open reading frame 41 [Source:HGNC Symbol;Acc:26929],0.577733186,8.06E-05,0.018587521,-0.273200788,0.036018807,0.999945608,-0.850933973,2.76E-07,0.000234912
ENSG00000260727,SLC7A5P1,pseudogene,"solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 1 [Source:HGNC Symbol;Acc:29458]",1.660120355,8.33E-05,0.018587521,0.682564996,0.047826269,0.999945608,-0.977555359,0.018087405,0.313646653
ENSG00000229212,RP11-561C5.4,pseudogene,,-0.992312599,8.40E-05,0.018587521,-0.762827132,0.002164252,0.343769755,0.229485467,0.277697252,0.816438146
ENSG00000230724,LINC01001,lincRNA,long intergenic non-protein coding RNA 1001 [Source:HGNC Symbol;Acc:38540],0.870000722,8.43E-05,0.018587521,0.252304693,0.172715978,0.999945608,-0.617696029,0.004375518,0.177115579
ENSG00000152726,FAM21B,protein_coding,"family with sequence similarity 21, member B [Source:HGNC Symbol;Acc:23417]",3.017438149,8.82E-05,0.01910069,1.54563252,0.00428204,0.490499443,-1.471805629,0.060740955,0.503553929
ENSG00000215030,RPL13P12,pseudogene,ribosomal protein L13 pseudogene 12 [Source:HGNC Symbol;Acc:35701],-1.523647762,9.66E-05,0.020557628,-3.408131177,1.62E-10,1.93E-06,-1.884483416,1.77E-06,0.001111564
ENSG00000018408,WWTR1,protein_coding,WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:24042],0.784203887,0.000107769,0.022523766,0.0485722,0.775673177,0.999945608,-0.735631688,0.000343534,0.054566956
ENSG00000139437,TCHP,protein_coding,"trichoplein, keratin filament binding [Source:HGNC Symbol;Acc:28135]",-0.327345802,0.000112747,0.022866843,-0.120582425,0.113314414,0.999945608,0.206763376,0.008471306,0.23306852
ENSG00000181404,XXyac-YRM2039.2,pseudogene,,-0.46565077,0.000114684,0.022866843,-0.386016317,0.000914048,0.201770257,0.079634453,0.453981586,0.885402813
ENSG00000198467,TPM2,protein_coding,tropomyosin 2 (beta) [Source:HGNC Symbol;Acc:12011],1.875429289,0.000115169,0.022866843,0.341818854,0.367919558,0.999945608,-1.533610435,0.002240777,0.130220022
ENSG00000144824,PHLDB2,protein_coding,"pleckstrin homology-like domain, family B, member 2 [Source:HGNC Symbol;Acc:29573]",0.692177074,0.000120639,0.023560144,-0.119718718,0.436108271,0.999945608,-0.811895793,2.16E-05,0.007082407
ENSG00000180881,CAPS2,protein_coding,calcyphosine 2 [Source:HGNC Symbol;Acc:16471],1.379132178,0.00012567,0.024146789,0.421822533,0.134132832,0.999945608,-0.957309645,0.008740793,0.234524927
ENSG00000242498,C15orf38,protein_coding,chromosome 15 open reading frame 38 [Source:HGNC Symbol;Acc:28782],-0.81925594,0.000131193,0.024808059,-0.855634556,0.000122693,0.050401385,-0.036378615,0.839957067,0.976130161
ENSG00000088808,PPP1R13B,protein_coding,"protein phosphatase 1, regulatory subunit 13B [Source:HGNC Symbol;Acc:14950]",-0.603458159,0.000135884,0.025252514,0.064917216,0.640122427,0.999945608,0.668375375,3.83E-05,0.010278021
ENSG00000120708,TGFBI,protein_coding,"transforming growth factor, beta-induced, 68kDa [Source:HGNC Symbol;Acc:11771]",3.336920484,0.000139015,0.025252514,1.762985379,0.003530985,0.454052932,-1.573935105,0.080541423,0.547925473
ENSG00000145979,TBC1D7,protein_coding,"TBC1 domain family, member 7 [Source:HGNC Symbol;Acc:21066]",0.5229687,0.000139903,0.025252514,0.203903017,0.087504045,0.999945608,-0.319065684,0.015010295,0.286108236
ENSG00000130226,DPP6,protein_coding,dipeptidyl-peptidase 6 [Source:HGNC Symbol;Acc:3010],-7.134196089,0.000144614,0.025713218,2.804262333,0.125130653,0.999945608,9.938458422,1.42E-07,0.000163119
ENSG00000164197,RNF180,protein_coding,ring finger protein 180 [Source:HGNC Symbol;Acc:27752],-0.704404624,0.000148632,0.026039056,-0.05994663,0.717552621,0.999945608,0.644457994,0.000356551,0.055509179
ENSG00000169330,KIAA1024,protein_coding,KIAA1024 [Source:HGNC Symbol;Acc:29172],0.728192652,0.000192438,0.033224819,0.190438743,0.263898076,0.999945608,-0.53775391,0.004492294,0.177115579
ENSG00000172661,FAM21C,protein_coding,"family with sequence similarity 21, member C [Source:HGNC Symbol;Acc:23414]",-0.503714047,0.000204772,0.034849322,-0.26523163,0.032822661,0.999945608,0.238482417,0.055388689,0.485180478
ENSG00000184005,ST6GALNAC3,protein_coding,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:19343]",0.67142576,0.000211643,0.035511251,0.043308467,0.778003391,0.999945608,-0.628117293,0.000668754,0.076604498
ENSG00000081189,MEF2C,protein_coding,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:6996],0.770542961,0.00021637,0.035800224,0.232630674,0.200290659,0.999945608,-0.537912287,0.007629025,0.228613919
ENSG00000164687,FABP5,protein_coding,fatty acid binding protein 5 (psoriasis-associated) [Source:HGNC Symbol;Acc:3560],-0.396772976,0.000220541,0.03599053,-0.142030644,0.148672284,0.999945608,0.254742332,0.010222409,0.247519424
ENSG00000124588,NQO2,protein_coding,"NAD(P)H dehydrogenase, quinone 2 [Source:HGNC Symbol;Acc:7856]",0.531682422,0.000230907,0.037172889,0.074244124,0.541888535,0.999945608,-0.457438298,0.001719289,0.121067056
ENSG00000272758,RP11-299J3.8,antisense,,0.759682863,0.00023577,0.037449745,0.49746695,0.007205917,0.635882118,-0.262215913,0.177421035,0.71279313
ENSG00000267470,ZNF571-AS1,antisense,ZNF571 antisense RNA 1 [Source:HGNC Symbol;Acc:44324],-1.699966633,0.00024442,0.038312792,0.199308983,0.642271601,0.999945608,1.899275616,3.35E-05,0.009290697
ENSG00000184110,EIF3C,protein_coding,"eukaryotic translation initiation factor 3, subunit C [Source:HGNC Symbol;Acc:3279]",-0.597365115,0.000252933,0.038682716,-0.413082056,0.00659066,0.611308893,0.184283059,0.216887176,0.759264452
ENSG00000185201,IFITM2,protein_coding,interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:5413],1.677534197,0.000253274,0.038682716,0.511253204,0.131734506,0.999945608,-1.166280993,0.014734026,0.283564552
ENSG00000130313,PGLS,protein_coding,6-phosphogluconolactonase [Source:HGNC Symbol;Acc:8903],0.391035312,0.000259391,0.03911544,0.063741808,0.488714712,0.999945608,-0.327293504,0.002158138,0.128549494
ENSG00000167785,ZNF558,protein_coding,zinc finger protein 558 [Source:HGNC Symbol;Acc:26422],2.056365436,0.000274998,0.04082494,0.149554078,0.708357001,0.999945608,-1.906811358,0.001920109,0.125899876
ENSG00000107719,PALD1,protein_coding,"phosphatase domain containing, paladin 1 [Source:HGNC Symbol;Acc:23530]",0.779494055,0.000277581,0.04082494,-0.019245267,0.916015101,0.999945608,-0.798739322,0.00032533,0.052373686
ENSG00000185187,SIGIRR,protein_coding,single immunoglobulin and toll-interleukin 1 receptor (TIR) domain [Source:HGNC Symbol;Acc:30575],1.65284735,0.000294535,0.042790197,0.670181708,0.089441263,0.999945608,-0.982665642,0.026775206,0.368076161
ENSG00000105048,TNNT1,protein_coding,"troponin T type 1 (skeletal, slow) [Source:HGNC Symbol;Acc:11948]",1.829052223,0.000305885,0.043903662,-0.103006139,0.781252811,0.999945608,-1.932058362,0.000548796,0.06999034
ENSG00000119638,NEK9,protein_coding,NIMA-related kinase 9 [Source:HGNC Symbol;Acc:18591],-0.594115407,0.00031267,0.044343336,-0.602846078,0.000246748,0.086456153,-0.008730671,0.95294402,0.993346699
ENSG00000149922,TBX6,protein_coding,T-box 6 [Source:HGNC Symbol;Acc:11605],2.087042654,0.000385686,0.054054972,0.178177437,0.707104786,0.999945608,-1.908865217,0.001948417,0.125899876
ENSG00000151292,CSNK1G3,protein_coding,"casein kinase 1, gamma 3 [Source:HGNC Symbol;Acc:2456]",0.276392874,0.000393511,0.054510382,0.119808496,0.087270309,0.999945608,-0.156584378,0.034299067,0.408196586
ENSG00000116668,SWT1,protein_coding,SWT1 RNA endoribonuclease homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:16785],0.364458061,0.000405442,0.055517554,0.148085244,0.109585809,0.999945608,-0.216372817,0.027224792,0.370466559
ENSG00000021826,CPS1,protein_coding,"carbamoyl-phosphate synthase 1, mitochondrial [Source:HGNC Symbol;Acc:2323]",0.684099868,0.000444271,0.060143214,0.013309898,0.936823383,0.999945608,-0.670789969,0.000785078,0.085008919
ENSG00000205336,GPR56,protein_coding,G protein-coupled receptor 56 [Source:HGNC Symbol;Acc:4512],0.515801261,0.000466827,0.062486637,-0.232951472,0.083362648,0.999945608,-0.748752732,3.94E-06,0.002040775
ENSG00000102886,GDPD3,protein_coding,glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:28638],1.221543764,0.000473577,0.062685758,0.008815517,0.975809531,0.999945608,-1.212728247,0.000937365,0.091390063
ENSG00000228998,RP11-697E2.7,pseudogene,,0.600714641,0.000489806,0.062946976,0.198873466,0.180527454,0.999945608,-0.401841175,0.018206051,0.314331428
ENSG00000164237,CMBL,protein_coding,carboxymethylenebutenolidase homolog (Pseudomonas) [Source:HGNC Symbol;Acc:25090],0.906184746,0.000490901,0.062946976,0.433833108,0.056508838,0.999945608,-0.472351638,0.061142835,0.506181096
ENSG00000183570,PCBP3,protein_coding,poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:8651],0.869837952,0.000491402,0.062946976,0.036620059,0.865229413,0.999945608,-0.833217894,0.001077635,0.096672438
ENSG00000223509,RP11-632K20.7,pseudogene,,0.904929287,0.000504423,0.063927583,0.207046178,0.347680628,0.999945608,-0.697883108,0.007763693,0.228683242
ENSG00000074211,PPP2R2C,protein_coding,"protein phosphatase 2, regulatory subunit B, gamma [Source:HGNC Symbol;Acc:9306]",-0.906380743,0.000558243,0.070003719,-0.181673613,0.445097565,0.999945608,0.72470713,0.004285111,0.176204493
ENSG00000272047,GTF2H5,protein_coding,"general transcription factor IIH, polypeptide 5 [Source:HGNC Symbol;Acc:21157]",0.269807149,0.000582563,0.072292479,0.032264397,0.638217274,0.999945608,-0.237542752,0.002555487,0.134785579
ENSG00000100060,MFNG,protein_coding,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:7038],1.139823492,0.000593899,0.072939418,-0.80868605,0.007688511,0.654237382,-1.948509542,6.53E-07,0.000484779
ENSG00000107954,NEURL1,protein_coding,neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:7761],-0.762223944,0.000630013,0.076585166,-0.236006771,0.251474215,0.999945608,0.526217173,0.012199464,0.26617621
ENSG00000123179,EBPL,protein_coding,emopamil binding protein-like [Source:HGNC Symbol;Acc:18061],0.418080159,0.000655066,0.078826273,0.095620937,0.373419734,0.999945608,-0.322459222,0.008042119,0.229682117
ENSG00000139835,GRTP1,protein_coding,growth hormone regulated TBC protein 1 [Source:HGNC Symbol;Acc:20310],1.090732145,0.000670722,0.079903161,0.18316923,0.501382218,0.999945608,-0.907562915,0.005421205,0.192890601
ENSG00000139329,LUM,protein_coding,lumican [Source:HGNC Symbol;Acc:6724],1.919733041,0.000684736,0.08076492,0.442707692,0.320638964,0.999945608,-1.477025349,0.012384403,0.266790939
ENSG00000168542,COL3A1,protein_coding,"collagen, type III, alpha 1 [Source:HGNC Symbol;Acc:2201]",2.787517667,0.000703851,0.082205604,0.569702952,0.38811659,0.999945608,-2.217814715,0.009632664,0.242328763
ENSG00000136531,SCN2A,protein_coding,"sodium channel, voltage-gated, type II, alpha subunit [Source:HGNC Symbol;Acc:10588]",-0.709854717,0.000716797,0.082904932,0.275325358,0.164274059,0.999945608,0.985180075,8.27E-06,0.003525995
ENSG00000186487,MYT1L,protein_coding,myelin transcription factor 1-like [Source:HGNC Symbol;Acc:7623],-0.548180061,0.000724508,0.082990992,-0.292511463,0.060008928,0.999945608,0.255668598,0.079713385,0.547599648
ENSG00000198468,FLVCR1-AS1,lincRNA,FLVCR1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:39077],-0.820353646,0.000757177,0.08590711,-0.411390174,0.07172551,0.999945608,0.408963472,0.069163945,0.522598956
ENSG00000182132,KCNIP1,protein_coding,Kv channel interacting protein 1 [Source:HGNC Symbol;Acc:15521],-0.978265105,0.000788714,0.087395433,-0.480039386,0.080002893,0.999945608,0.498225719,0.063594212,0.509584041
ENSG00000101608,MYL12A,protein_coding,"myosin, light chain 12A, regulatory, non-sarcomeric [Source:HGNC Symbol;Acc:16701]",0.335367522,0.00079086,0.087395433,0.132226854,0.139453462,0.999945608,-0.203140668,0.035508784,0.416478041
ENSG00000114854,TNNC1,protein_coding,troponin C type 1 (slow) [Source:HGNC Symbol;Acc:11943],1.926608771,0.000792303,0.087395433,0.217469706,0.622387474,0.999945608,-1.709139065,0.005375024,0.192890601
ENSG00000205609,EIF3CL,protein_coding,"eukaryotic translation initiation factor 3, subunit C-like [Source:HGNC Symbol;Acc:26347]",-0.613646186,0.000812955,0.088850785,-0.412955488,0.016492722,0.877851682,0.200690698,0.238464752,0.77968796
ENSG00000113971,NPHP3,protein_coding,nephronophthisis 3 (adolescent) [Source:HGNC Symbol;Acc:7907],0.426662231,0.0008226,0.089087556,0.274368356,0.018093586,0.890568424,-0.152293876,0.210667891,0.750623318
ENSG00000111817,DSE,protein_coding,dermatan sulfate epimerase [Source:HGNC Symbol;Acc:21144],0.431541687,0.000831734,0.08926524,0.020209423,0.854755559,0.999945608,-0.411332264,0.002060263,0.126515028
ENSG00000078596,ITM2A,protein_coding,integral membrane protein 2A [Source:HGNC Symbol;Acc:6173],1.469448266,0.000853898,0.090825763,0.003589844,0.99202798,0.999945608,-1.465858422,0.001783827,0.12283884
ENSG00000125505,MBOAT7,protein_coding,membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:15505],0.361516449,0.000863269,0.091009958,0.076600808,0.424981737,0.999945608,-0.284915642,0.008054354,0.229682117
ENSG00000189046,ALKBH2,protein_coding,"alkB, alkylation repair homolog 2 (E. coli) [Source:HGNC Symbol;Acc:32487]",-0.360965284,0.000872777,0.091205238,-0.510455102,1.33E-05,0.009290255,-0.149489818,0.13524252,0.654936642
ENSG00000032219,ARID4A,protein_coding,AT rich interactive domain 4A (RBP1-like) [Source:HGNC Symbol;Acc:9885],-0.254740551,0.000890076,0.092204147,-0.085409302,0.219843142,0.999945608,0.169331249,0.021576661,0.336336223
ENSG00000233137,RP11-220I1.1,lincRNA,,0.35810438,0.000926944,0.095124247,0.018817786,0.843680393,0.999945608,-0.339286594,0.001976482,0.125899876
ENSG00000189184,PCDH18,protein_coding,protocadherin 18 [Source:HGNC Symbol;Acc:14268],0.710057639,0.000934235,0.095124247,0.097827424,0.613684822,0.999945608,-0.612230214,0.003772647,0.162875879
ENSG00000036448,MYOM2,protein_coding,myomesin 2 [Source:HGNC Symbol;Acc:7614],-1.000279656,0.000968792,0.097806908,0.649963679,0.023744565,0.99957172,1.650243335,1.42E-06,0.000939391
ENSG00000099365,STX1B,protein_coding,syntaxin 1B [Source:HGNC Symbol;Acc:18539],-0.56225867,0.001038589,0.103972379,-0.191511048,0.236793343,0.999945608,0.370747622,0.019736342,0.323409969
ENSG00000136826,KLF4,protein_coding,Kruppel-like factor 4 (gut) [Source:HGNC Symbol;Acc:6348],1.322480617,0.001066909,0.105309944,0.150946551,0.649269461,0.999945608,-1.171534066,0.005664204,0.19781839
ENSG00000184524,CEND1,protein_coding,cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:24153],-0.621040496,0.00106963,0.105309944,-0.440813479,0.016253288,0.877851682,0.180227016,0.296846307,0.825546526
ENSG00000183011,LSMD1,protein_coding,LSM domain containing 1 [Source:HGNC Symbol;Acc:28212],0.322884284,0.001079918,0.105451301,0.191526353,0.031917099,0.999945608,-0.131357931,0.167331222,0.699441467
